ID,block_pos_1,block_pos_2,block_pos_3,block_pos_4,block_pos_5,block_pos_6,block_pos_7,block_pos_8,block_pos_9,block_pos_10,response_buttons,restingstate,thr1f_response_buttons,note
22,RhyF,RhyS,RhyF,RanS,RhyS,RanS,RanS,RhyS,RhyS,RanS,YNYN,NM,YN,
23,RanS,RhyS,RanS,RhyS,RhyS,RhyF,RanS,RhyF,RanS,RhyS,YNNY,MN,YN,
24,RhyS,RhyS,RanS,RhyS,RhyF,RanS,RhyF,RanS,RanS,RhyS,NYYN,NM,NY,
25,RhyF,RanS,RhyF,RhyS,RanS,RhyS,RhyS,RanS,RanS,RhyS,YNNY,MN,YN,
26,RanS,RhyS,RanS,RhyS,RanS,RhyF,RhyS,RanS,RhyS,RhyF,NYNY,NM,NY,
27,RhyS,RhyS,RhyF,RanS,RanS,RhyS,RhyS,RhyF,RanS,RanS,YNYN,NM,YN,
28,RanS,RhyS,RhyS,RhyF,RanS,RanS,RhyS,RhyF,RanS,RhyS,NYNY,NM,NY,
29,RanS,RanS,RhyF,RhyS,RhyS,RhyF,RhyS,RhyS,RanS,RanS,NYYN,MN,NY,
30,RanS,RanS,RhyF,RhyS,RhyS,RanS,RanS,RhyF,RhyS,RhyS,YNYN,MN,YN,
31,RanS,RanS,RhyS,RhyS,RhyF,RhyS,RhyS,RhyF,RanS,RanS,NYYN,MN,NY,
32,RhyS,RhyS,RanS,RanS,RhyF,RanS,RanS,RhyF,RhyS,RhyS,YNNY,MN,YN,
33,RhyS,RhyS,RanS,RanS,RhyF,RhyS,RhyS,RhyF,RanS,RanS,YNYN,MN,YN,
34,RhyS,RhyS,RanS,RanS,RhyF,RhyS,RhyS,RhyF,RanS,RanS,NYNY,MN,NY,
35,RhyS,RanS,RanS,RhyF,RhyS,RhyF,RhyS,RhyS,RanS,RanS,NYNY,MN,NY,
36,RanS,RanS,RhyS,RhyS,RanS,RanS,RhyF,RhyS,RhyF,RhyS,YNNY,MN,YN,
37,RanS,RanS,RhyS,RhyS,RanS,RanS,RhyF,RhyS,RhyF,RhyS,YNYN,NM,YN,
38,RhyS,RhyF,RhyS,RhyS,RanS,RanS,RhyF,RhyS,RanS,RanS,NYNY,NM,NY,
39,RanS,RhyF,RanS,RhyS,RanS,RanS,RhyS,RhyS,RhyF,RhyS,YNNY,NM,YN,
40,RanS,RhyF,RanS,RanS,RhyS,RhyS,RanS,RhyS,RhyF,RhyS,NYYN,NM,NY,
41,RanS,RhyF,RanS,RanS,RhyS,RhyS,RanS,RhyS,RhyF,RhyS,NYNY,NM,NY,exclude
42,RanS,RhyF,RanS,RanS,RhyS,RhyS,RanS,RhyS,RhyF,RhyS,NYYN,MN,NY,
43,RanS,RhyF,RanS,RanS,RhyS,RanS,RhyS,RhyS,RhyF,RhyS,NYYN,NM,NY,
44,RhyF,RhyS,RhyS,RanS,RanS,RhyS,RhyS,RanS,RanS,RhyF,YNYN,MN,YN,
45,RanS,RhyS,RhyS,RanS,RhyS,RhyS,RanS,RanS,RhyF,RhyF,NYNY,MN,NY,
46,RhyF,RanS,RhyS,RanS,RanS,RhyS,RhyS,RanS,RhyS,RhyF,YNNY,MN,YN,
47,RhyF,RanS,RhyS,RanS,RhyS,RanS,RanS,RhyS,RhyS,RhyF,NYYN,MN,NY,
48,RhyF,RanS,RhyS,RanS,RhyS,RhyS,RanS,RhyS,RanS,RhyF,YNYN,NM,YN,
49,RhyF,RhyS,RhyS,RanS,RhyS,RanS,RanS,RhyS,RanS,RhyF,NYNY,NM,NY,
50,RanS,RhyS,RhyS,RanS,RhyS,RhyF,RanS,RanS,RhyS,RhyF,YNYN,MN,YN,
51,RhyS,RhyF,RanS,RhyS,RanS,RanS,RhyS,RhyS,RhyF,RanS,NYNY,MN,NY,for_excluded_ID41
52,RhyS,RanS,RhyS,RhyF,RanS,RanS,RhyS,RanS,RhyF,RhyS,NYYN,MN,NY,repeat_for_excluded_ID10
53,RhyS,RhyF,RanS,RhyS,RhyS,RhyF,RanS,RanS,RhyS,RanS,YNYN,MN,YN,repeat_for_excluded_ID20
54,RhyS,RhyF,RhyF,RhyS,RanS,RanS,RhyS,RanS,RhyS,RanS,YNNY,MN,YN,repeat_for_excluded_ID21
55,RanS,RanS,RhyS,RanS,RhyS,RhyF,RanS,RhyS,RhyS,RhyF,YNNY,NM,YN,stoppingrule_batch1
56,RhyS,RanS,RhyS,RanS,RhyF,RhyS,RanS,RanS,RhyF,RhyS,NYYN,MN,NY,stoppingrule_batch1
57,RhyS,RhyF,RanS,RhyS,RhyS,RanS,RhyS,RhyF,RanS,RanS,YNYN,NM,YN,stoppingrule_batch1
58,RanS,RhyS,RanS,RhyF,RanS,RhyS,RhyF,RhyS,RanS,RanS,YNNY,MN,YN,stoppingrule_batch1
59,RhyS,RanS,RhyS,RhyF,RanS,RhyS,RanS,RhyS,RhyF,RhyS,YNYN,NM,YN,stoppingrule_batch1
60,RanS,RhyS,RhyF,RanS,RhyS,RanS,RanS,RhyF,RhyS,RhyS,NYNY,MN,NY,stoppingrule_batch2
61,RhyS,RhyF,RanS,RhyS,RhyF,RanS,RhyS,RanS,RhyS,RanS,NYNY,NM,NY,stoppingrule_batch2
62,RanS,RhyS,RanS,RhyF,RhyS,RanS,RhyS,RanS,RhyF,RhyS,NYYN,NM,NY,stoppingrule_batch2
63,RhyF,RanS,RhyS,RanS,RhyS,RhyF,RanS,RhyS,RanS,RhyS,NYNY,NM,NY,stoppingrule_batch2
64,RhyF,RanS,RhyS,RhyS,RanS,RhyS,RhyF,RanS,RanS,RhyS,NYYN,MN,NY,stoppingrule_batch2
65,RhyS,RhyF,RanS,RhyS,RanS,RhyS,RanS,RanS,RhyF,RhyS,YNYN,MN,YN,stoppingrule_batch3
66,RanS,RhyS,RhyF,RhyS,RanS,RhyS,RhyF,RanS,RhyS,RanS,YNNY,NM,YN,stoppingrule_batch3
67,RhyF,RhyS,RanS,RanS,RhyF,RhyS,RanS,RhyS,RhyS,RanS,NYNY,MN,NY,stoppingrule_batch3
68,RhyF,RanS,RhyS,RanS,RhyS,RanS,RhyS,RhyS,RanS,RhyF,NYYN,NM,NY,stoppingrule_batch3
69,RanS,RhyS,RanS,RhyF,RhyS,RanS,RhyS,RhyF,RanS,RhyS,YNYN,MN,YN,stoppingrule_batch3
70,RhyS,RanS,RhyF,RhyS,RanS,RanS,RhyS,RhyS,RanS,RhyF,YNNY,NM,YN,stoppingrule_batch4
71,RanS,RhyS,RhyS,RanS,RhyF,RhyS,RanS,RhyF,RhyS,RanS,NYYN,NM,NY,stoppingrule_batch4
72,RhyF,RhyS,RanS,RhyS,RanS,RhyF,RanS,RhyS,RhyS,RanS,NYYN,MN,NY,stoppingrule_batch4
73,RhyS,RanS,RhyF,RanS,RhyS,RhyS,RhyF,RanS,RhyS,RanS,NYNY,NM,NY,stoppingrule_batch4
74,RanS,RhyF,RhyS,RanS,RhyS,RanS,RhyF,RhyS,RanS,RhyS,YNNY,MN,YN,stoppingrule_batch4
75,RhyS,RanS,RanS,RhyF,RhyS,RanS,RhyS,RanS,RhyF,RhyS,YNYN,NM,YN,stoppingrule_batch5
76,RanS,RhyF,RhyS,RhyS,RanS,RhyF,RhyS,RhyS,RanS,RanS,NYNY,MN,NY,stoppingrule_batch5
77,RhyS,RanS,RhyS,RanS,RhyF,RhyS,RanS,RhyF,RhyS,RanS,YNNY,MN,YN,stoppingrule_batch5
78,RanS,RhyS,RhyF,RanS,RhyS,RanS,RhyS,RanS,RhyF,RhyS,NYNY,MN,NY,stoppingrule_batch5
79,RhyF,RhyS,RanS,RhyS,RanS,RhyS,RanS,RhyS,RanS,RhyF,YNNY,NM,YN,stoppingrule_batch5
