ID;block_pos_1;block_pos_2;block_pos_3;block_pos_4;block_pos_5;block_pos_6;block_pos_7;block_pos_8;block_pos_9;block_pos_10;button_response_order;block_types;thr1F_response_button
23;RanS;RhyS;RanS;RhyS;RhyS;RhyF;RanS;RhyF;RanS;RhyS;YNNY;MN;YN
24;RhyS;RhyS;RanS;RhyS;RhyF;RanS;RhyF;RanS;RanS;RhyS;NYYN;NM;NY
25;RhyF;RanS;RhyF;RhyS;RanS;RhyS;RhyS;RanS;RanS;RhyS;YNNY;MN;YN
26;RanS;RhyS;RanS;RhyS;RanS;RhyF;RhyS;RanS;RhyS;RhyF;NYNY;NM;NY
27;RhyS;RhyS;RhyF;RanS;RanS;RhyS;RhyS;RhyF;RanS;RanS;YNYN;NM;YN
28;RanS;RhyS;RhyS;RhyF;RanS;RanS;RhyS;RhyF;RanS;RhyS;NYNY;NM;NY
29;RanS;RanS;RhyF;RhyS;RhyS;RhyF;RhyS;RhyS;RanS;RanS;NYYN;MN;NY
30;RanS;RanS;RhyF;RhyS;RhyS;RanS;RanS;RhyF;RhyS;RhyS;YNYN;MN;YN
31;RanS;RanS;RhyS;RhyS;RhyF;RhyS;RhyS;RhyF;RanS;RanS;NYYN;MN;NY
32;RhyS;RhyS;RanS;RanS;RhyF;RanS;RanS;RhyF;RhyS;RhyS;YNNY;MN;YN
33;RhyS;RhyS;RanS;RanS;RhyF;RhyS;RhyS;RhyF;RanS;RanS;YNYN;MN;YN
34;RhyS;RhyS;RanS;RanS;RhyF;RhyS;RhyS;RhyF;RanS;RanS;NYNY;MN;NY
35;RhyS;RanS;RanS;RhyF;RhyS;RhyF;RhyS;RhyS;RanS;RanS;NYNY;MN;NY
36;RanS;RanS;RhyS;RhyS;RanS;RanS;RhyF;RhyS;RhyF;RhyS;YNNY;MN;YN
37;RanS;RanS;RhyS;RhyS;RanS;RanS;RhyF;RhyS;RhyF;RhyS;YNYN;NM;YN
38;RhyS;RhyF;RhyS;RhyS;RanS;RanS;RhyF;RhyS;RanS;RanS;NYNY;NM;NY
39;RanS;RhyF;RanS;RhyS;RanS;RanS;RhyS;RhyS;RhyF;RhyS;YNNY;NM;YN
40;RanS;RhyF;RanS;RanS;RhyS;RhyS;RanS;RhyS;RhyF;RhyS;NYYN;NM;NY
41;RanS;RhyF;RanS;RanS;RhyS;RhyS;RanS;RhyS;RhyF;RhyS;NYNY;NM;NY
42;RanS;RhyF;RanS;RanS;RhyS;RhyS;RanS;RhyS;RhyF;RhyS;NYYN;MN;NY
43;RanS;RhyF;RanS;RanS;RhyS;RanS;RhyS;RhyS;RhyF;RhyS;NYYN;NM;NY
44;RhyF;RhyS;RhyS;RanS;RanS;RhyS;RhyS;RanS;RanS;RhyF;YNYN;MN;YN
45;RanS;RhyS;RhyS;RanS;RhyS;RhyS;RanS;RanS;RhyF;RhyF;NYNY;MN;NY
46;RhyF;RanS;RhyS;RanS;RanS;RhyS;RhyS;RanS;RhyS;RhyF;YNNY;MN;YN
47;RhyF;RanS;RhyS;RanS;RhyS;RanS;RanS;RhyS;RhyS;RhyF;NYYN;MN;NY
48;RhyF;RanS;RhyS;RanS;RhyS;RhyS;RanS;RhyS;RanS;RhyF;YNYN;NM;YN
49;RhyF;RhyS;RhyS;RanS;RhyS;RanS;RanS;RhyS;RanS;RhyF;NYNY;NM;NY
50;RhyF;RhyS;RhyS;RanS;RhyS;RanS;RanS;RhyS;RanS;RhyF;NYNY;MN;NY
